       V        B-V 
  14.987      1.416 
  17.585      0.844 
  19.498      1.086 
  17.832      0.895 
  17.598      0.847 
  18.384      0.875 
  19.006      0.908 
  14.717      1.395 
  17.397      1.000 
  19.684      1.216 
  18.077      0.899 
  17.638      0.828 
  18.788      0.970 
  17.620      0.797 
  17.703      0.835 
  17.503      0.876 
  19.761      1.142 
  17.577      0.828 
  17.521      0.846 
  19.424      1.139 
  19.739      0.969 
  19.950      1.235 
  15.715      1.251 
  17.476      1.128 
  17.962      0.774 
  17.778      0.843 
  19.451      1.184 
  19.683      1.077 
  18.072      0.853 
  19.117      1.054 
  17.555      1.057 
  19.169      1.144 
  17.760      0.828 
  17.794      0.794 
  17.622      0.787 
  17.519      0.825 
  18.871      1.044 
  16.413      1.173 
  18.577      0.933 
  18.131      0.824 
  19.155      0.958 
  18.938      0.990 
  17.627      0.827 
  18.808      0.840 
  17.819      0.799 
  17.408      0.996 
  17.300      1.149 
  18.081      0.817 
  18.827      1.002 
  17.801      0.836 
  18.403      0.885 
  18.878      0.951 
  18.018      0.802 
  17.765      0.854 
  16.106      1.229 
  17.971      0.789 
  17.407      0.854 
  18.444      0.887 
  17.348      1.128 
  17.827      0.869 
  17.519      0.824 
  18.534      0.933 
  17.360      0.825 
  17.874      0.873 
  14.607      1.330 
  17.413      1.103 
  19.193      0.907 
  18.656      0.883 
  17.553      0.821 
  18.835      1.033 
  19.010      0.975 
  18.290      0.937 
  17.454      0.872 
  18.184      0.869 
  19.100      0.936 
  19.131      1.034 
  19.943      1.034 
  18.362      0.965 
  16.228      1.263 
  18.408      0.953 
  17.830      0.847 
  18.951      0.940 
  19.530      1.020 
  18.597      1.012 
  18.816      0.946 
  18.302      0.880 
  17.017      1.168 
  17.408      0.842 
  17.614      0.856 
  17.730      0.886 
  17.336      0.907 
  18.661      0.900 
  19.690      1.090 
  17.699      0.869 
  19.877      1.130 
  18.516      0.981 
  17.310      0.894 
  19.035      0.934 
  19.094      0.934 
  18.506      0.988 
  17.785      0.828 
  19.329      0.989 
  17.447      0.834 
  18.704      0.931 
  18.002      0.838 
  19.432      1.048 
  18.773      0.977 
  15.972      1.261 
  18.854      1.051 
  17.464      0.809 
  18.804      0.944 
  19.950      1.136 
  17.686      0.844 
  18.277      0.760 
  16.956      1.148 
  17.678      0.832 
  18.577      0.936 
  19.888      1.089 
  18.384      0.904 
  18.771      0.939 
  19.989      1.191 
  17.396      1.063 
  18.311      0.846 
  17.457      0.840 
  18.962      0.929 
  19.014      0.920 
  17.887      0.842 
  17.660      0.842 
  19.389      1.178 
  18.656      0.923 
  17.657      0.822 
  18.103      0.878 
  19.261      0.987 
  19.292      1.021 
  18.647      0.938 
  17.921      0.842 
  18.798      0.930 
  19.725      0.957 
  19.812      1.061 
  17.339      1.114 
  19.361      0.949 
  19.708      1.051 
  18.685      0.895 
  19.795      0.976 
  17.420      0.840 
  18.215      0.850 
  17.465      0.881 
  17.997      0.836 
  17.578      0.808 
  17.529      0.898 
  14.830      1.306 
  17.567      0.825 
  17.801      0.796 
  18.510      0.910 
  19.660      1.120 
  18.733      0.923 
  17.686      0.853 
  15.750      1.248 
  18.679      0.920 
  18.006      0.861 
  19.707      1.074 
